id,stem,type,A,B,C,D,correct,skill_tag,difficulty
1,A nuclide has T₁/₂ = 5.0 h. What is λ (h⁻¹)?,Numeric,,,,,λ = ln2 / 5.0 ≈ 0.1386 h⁻¹,decay_kinetics,2
2,"If N₀ = 1.0×10⁶ and λ = 0.2 h⁻¹, N after 3 h is:",Numeric,,,,,N = N₀ e^{-0.6} ≈ 5.49×10⁵,decay_kinetics,2
3,"An activity falls from 8000 to 1000 in time t. In half-lives, t corresponds to:",MCQ,2,3,log₂(8) = 3,log₂(8) = 3 (same as B/C),B,half_life,2
4,Sample activity drops by 75% in T hours. T equals how many half-lives?,MCQ,1,2,3,0.5,B,half_life,2
5,A radionuclide has λ = 0.010 s⁻¹. T₁/₂ is:,Numeric,,,,,T₁/₂ = ln2 / 0.010 ≈ 69.3 s,decay_kinetics,2
6,N(t)/N₀ = 0.1. How many half-lives have elapsed?,MCQ,≈ 3.32,≈ 1.66,≈ 10,≈ 0.5,A,half_life,3
7,"A decays to B (stable). If A’s T₁/₂ = 10 d, after 30 d the fraction remaining of A is:",MCQ,1/2,1/4,1/8,1/16,C,decay_kinetics,2
8,"Activity A=λN. If N decreases by factor 5, A changes by:",MCQ,×5,÷5,No change,×√5,B,activity,1
9,"For a mixture of two nuclides with different half-lives, the early-time decay curve is dominated by:",MCQ,Longer half-life component,Shorter half-life component,Average,Neither,B,multi_component_decay,3
10,"If A(t) = A₀ e^{-λt}, a semilog plot of A vs t yields:",MCQ,Parabola,Straight line,Sine wave,Exponential growth,B,data_representation,2
11,"I = I₀ e^{-μx}. For μ = 0.12 cm⁻¹, what thickness x halves I?",Numeric,,,,,x = ln2 / 0.12 ≈ 5.8 cm,attenuation,2
12,"If three HVLs are added, intensity becomes:",MCQ,I₀/2,I₀/4,I₀/8,I₀/16,C,attenuation,2
13,A broad-beam geometry compared to narrow-beam typically shows:,MCQ,Less apparent attenuation due to scatter back into detector,More attenuation,No difference,Inverted behavior,A,attenuation_geometry,4
